Sort,Population,Population_Code,Species,Variety,Sample,Well,Plate,Replicate,DNA_ug_ml,DNA_ug_ml_adj,Notes
1,Bluewood,BW,Eriogonum compositum,na,BW_01,A1,1,no,13.11,8.5875,
2,Bluewood,BW,Eriogonum compositum,na,BW_02,B1,1,no,15.73,11.2075,
3,Bluewood,BW,Eriogonum compositum,na,BW_03,C1,1,no,10.435,5.9125,
4,Bluewood,BW,Eriogonum compositum,na,BW_04,D1,1,no,17.235,12.7125,
5,Bluewood,BW,Eriogonum compositum,na,BW_05,E1,1,no,14.975,10.4525,
6,Bluewood,BW,Eriogonum compositum,na,BW_06,F1,1,no,19.06,14.5375,
7,Bluewood,BW,Eriogonum compositum,na,BW_07,G1,1,no,10.215,5.6925,
8,Bluewood,BW,Eriogonum compositum,na,BW_08,H1,1,no,10.975,6.4525,
9,Bluewood,BW,Eriogonum compositum,na,BW_09,A2,1,no,5.6,1.0775,
10,Bluewood,BW,Eriogonum compositum,na,BW_10,B2,1,no,6.35,1.8275,
11,Bluewood,BW,Eriogonum compositum,na,BW_11,C2,1,no,13.28,8.7575,
12,Bluewood,BW,Eriogonum compositum,na,BW_12,D2,1,no,4.785,0.2625,
13,Joseph,JS,ERUM,unk,JS_01,E2,1,no,38.155,33.6325,
14,Joseph,JS,ERUM,unk,JS_02,F2,1,no,23.345,18.8225,
15,Joseph,JS,ERUM,unk,JS_03,G2,1,no,31.92,27.3975,
16,Joseph,JS,ERUM,unk,JS_04,H2,1,no,31.26,26.7375,
17,Joseph,JS,ERUM,unk,JS_05,A3,1,no,23.91,19.3875,
18,Joseph,JS,ERUM,unk,JS_06,B3,1,no,16.21,11.6875,
19,Joseph,JS,ERUM,unk,JS_07,C3,1,no,26.57,22.0475,
20,Joseph,JS,ERUM,unk,JS_08,D3,1,yes,24.4,19.8775,
21,Joseph,JS,ERUM,unk,JS_09,E3,1,no,25.51,20.9875,
22,Joseph,JS,ERUM,unk,JS_10,F3,1,no,28.355,23.8325,
23,Joseph,JS,ERUM,unk,JS_11,G3,1,no,32.285,27.7625,
24,Joseph,JS,ERUM,unk,JS_12,H3,1,no,24.315,19.7925,
25,JP Desert Cottonwood Creek,JP,ERUM,aureum,JP_01,A4,1,no,6.45,1.9275,
26,JP Desert Cottonwood Creek,JP,ERUM,aureum,JP_02,B4,1,no,5.045,0.5225,
27,JP Desert Cottonwood Creek,JP,ERUM,aureum,JP_03,C4,1,no,5.385,0.8625,
28,JP Desert Cottonwood Creek,JP,ERUM,aureum,JP_04,D4,1,no,10.08,5.5575,
29,JP Desert Cottonwood Creek,JP,ERUM,aureum,JP_05,E4,1,no,7.855,3.3325,
30,JP Desert Cottonwood Creek,JP,ERUM,aureum,JP_06,F4,1,no,13.59,9.0675,
31,JP Desert Cottonwood Creek,JP,ERUM,aureum,JP_07,G4,1,no,9.015,4.4925,
32,JP Desert Cottonwood Creek,JP,ERUM,aureum,JP_08,H4,1,no,11.09,6.5675,
33,JP Desert Cottonwood Creek,JP,ERUM,aureum,JP_09,A5,1,no,8.245,3.7225,
34,JP Desert Cottonwood Creek,JP,ERUM,aureum,JP_10,B5,1,no,7.945,3.4225,
35,Tennessee Mt,TM,Eriogonum strictum,na,TM_01,C5,1,yes,8.61,4.0875,
36,Tennessee Mt,TM,Eriogonum strictum,na,TM_02,D5,1,no,10.4,5.8775,
37,Tennessee Mt,TM,Eriogonum strictum,na,TM_03,E5,1,no,9.69,5.1675,
38,Tennessee Mt,TM,Eriogonum strictum,na,TM_04,F5,1,no,8.62,4.0975,
39,Tennessee Mt,TM,Eriogonum strictum,na,TM_05,G5,1,no,10.235,5.7125,
40,Tennessee Mt,TM,Eriogonum strictum,na,TM_06,H5,1,no,10.9,6.3775,
41,Tennessee Mt,TM,Eriogonum strictum,na,TM_07,A6,1,no,8.175,3.6525,
42,Tennessee Mt,TM,Eriogonum strictum,na,TM_08,B6,1,no,8.505,3.9825,
43,Tennessee Mt,TM,Eriogonum strictum,na,TM_09,C6,1,no,6.61,2.0875,
44,Tennessee Mt,TM,Eriogonum strictum,na,TM_10,D6,1,no,12.63,8.1075,
45,Angel Creek,AC,ERUM,dichrocephalum,AC_01,E6,1,yes,18.555,14.0325,
46,Angel Creek,AC,ERUM,dichrocephalum,AC_02,F6,1,no,16.2,11.6775,
47,Angel Creek,AC,ERUM,dichrocephalum,AC_03,G6,1,no,20.255,15.7325,
48,Angel Creek,AC,ERUM,dichrocephalum,AC_04,H6,1,no,7.805,3.2825,
49,Angel Creek,AC,ERUM,dichrocephalum,AC_05,A7,1,no,16.77,12.2475,
50,Angel Creek,AC,ERUM,dichrocephalum,AC_06,B7,1,no,7.77,3.2475,
51,Angel Creek,AC,ERUM,dichrocephalum,AC_07,C7,1,no,10.83,6.3075,
52,Angel Creek,AC,ERUM,dichrocephalum,AC_08,D7,1,no,18.255,13.7325,
53,Angel Creek,AC,ERUM,dichrocephalum,AC_09,E7,1,no,25.87,21.3475,
54,Angel Creek,AC,ERUM,dichrocephalum,AC_10,F7,1,no,11.91,7.3875,
55,Bald Eagle Mt,BE,ERUM,majus,BE_01,G7,1,no,11.955,7.4325,
56,Bald Eagle Mt,BE,ERUM,majus,BE_02,H7,1,no,12.435,7.9125,
57,Bald Eagle Mt,BE,ERUM,majus,BE_03,A8,1,no,11.16,6.6375,
58,Bald Eagle Mt,BE,ERUM,majus,BE_04,B8,1,no,13.835,9.3125,
59,Bald Eagle Mt,BE,ERUM,majus,BE_05,C8,1,no,9.5,4.9775,
60,Bald Eagle Mt,BE,ERUM,majus,BE_06,D8,1,no,8.525,4.0025,
61,Bald Eagle Mt,BE,ERUM,majus,BE_07,E8,1,no,19.49,14.9675,
62,Bald Eagle Mt,BE,ERUM,majus,BE_08,F8,1,no,13.47,8.9475,
63,Bald Eagle Mt,BE,ERUM,majus,BE_09,G8,1,no,16.575,12.0525,
64,Bald Eagle Mt,BE,ERUM,majus,BE_10,H8,1,no,19.435,14.9125,
65,Stone Cabin Valley,SC,ERUM,vernum,SC_01,A9,1,no,12.19,7.6675,
66,Stone Cabin Valley,SC,ERUM,vernum,SC_02,B9,1,no,8.12,3.5975,
67,Stone Cabin Valley,SC,ERUM,vernum,SC_03,C9,1,yes,10.21,5.6875,
68,Stone Cabin Valley,SC,ERUM,vernum,SC_04,D9,1,no,10.12,5.5975,
69,Stone Cabin Valley,SC,ERUM,vernum,SC_05,E9,1,no,11.53,7.0075,
70,Stone Cabin Valley,SC,ERUM,vernum,SC_06,F9,1,no,14.165,9.6425,
71,Stone Cabin Valley,SC,ERUM,vernum,SC_07,G9,1,no,8.955,4.4325,
72,Stone Cabin Valley,SC,ERUM,vernum,SC_08,H9,1,no,11.94,7.4175,
73,Stone Cabin Valley,SC,ERUM,vernum,SC_09,A10,1,no,17.96,13.4375,
74,Stone Cabin Valley,SC,ERUM,vernum,SC_10,B10,1,no,7.965,3.4425,
75,Hamilton Ranch,HR,ERUM,unk,HR_01,C10,1,no,13.275,8.7525,
76,Hamilton Ranch,HR,ERUM,unk,HR_02,D10,1,no,11.465,6.9425,
77,Hamilton Ranch,HR,ERUM,unk,HR_03,E10,1,no,16.12,11.5975,
78,Hamilton Ranch,HR,ERUM,unk,HR_04,F10,1,no,24.155,19.6325,
79,Hamilton Ranch,HR,ERUM,unk,HR_05,G10,1,no,23.59,19.0675,
80,Hamilton Ranch,HR,ERUM,unk,HR_06,H10,1,no,18.345,13.8225,
81,Hamilton Ranch,HR,ERUM,unk,HR_07,A11,1,no,8.565,4.0425,
82,Hamilton Ranch,HR,ERUM,unk,HR_08,B11,1,no,14.245,9.7225,
83,Hamilton Ranch,HR,ERUM,unk,HR_09,C11,1,no,14.385,9.8625,
84,Hamilton Ranch,HR,ERUM,unk,HR_10,D11,1,no,21.17,16.6475,
85,Hamilton Ranch,HR,ERUM,unk,HR_11,E11,1,no,20.21,15.6875,
86,Hamilton Ranch,HR,ERUM,unk,HR_12,F11,1,no,19.74,15.2175,
87,Hamilton Ranch,HR,ERUM,unk,HR_13,G11,1,no,11.04,6.5175,
88,Hamilton Ranch,HR,ERUM,unk,HR_14,H11,1,no,10.14,5.6175,
89,Hamilton Ranch,HR,ERUM,unk,HR_15,A12,1,no,9.59,5.0675,
90,Hamilton Ranch,HR,ERUM,unk,HR_16,B12,1,no,8.425,3.9025,
91,Joseph,JS,ERUM,unk,JS_08,C12,1,yes,26.6,22.0775,
92,Tennessee Mt,TM,Eriogonum strictum,na,TM_01,D12,1,yes,10.205,5.6825,
93,Angel Creek,AC,ERUM,dichrocephalum,AC_01,E12,1,yes,13.43,8.9075,
94,Stone Cabin Valley,SC,ERUM,vernum,SC_03,F12,1,yes,9.485,4.9625,
95,empty,na,na,na,na,G12,1,na,4.315,-0.2075,
96,empty,na,na,na,na,H12,1,na,4.73,0.2075,
97,Joseph Overlook,JO,ERUM,na,JO_01,A1,2,no,22.275,13.635,
98,Joseph Overlook,JO,ERUM,na,JO_02,B1,2,no,13.505,4.865,
99,Joseph Overlook,JO,ERUM,na,JO_03,C1,2,no,29.345,20.705,
100,Joseph Overlook,JO,ERUM,na,JO_04,D1,2,no,13.865,5.225,
101,Joseph Overlook,JO,ERUM,na,JO_05,E1,2,no,13.61,4.97,
102,Joseph Overlook,JO,ERUM,na,JO_06,F1,2,no,15.15,6.51,
103,Joseph Overlook,JO,ERUM,na,JO_07,G1,2,no,17.07,8.43,
104,Joseph Overlook,JO,ERUM,na,JO_08,H1,2,no,14.975,6.335,
105,Joseph Overlook,JO,ERUM,na,JO_09,A2,2,no,14.16,5.52,
106,Joseph Overlook,JO,ERUM,na,JO_10,B2,2,no,11.165,2.525,
107,Joseph Overlook,JO,ERUM,na,JO_11,C2,2,no,13.18,4.54,
108,Tiger Creek,TC,ERUM,na,TC_01,D2,2,no,23.605,14.965,outlier noted on envelope
109,Tiger Creek,TC,ERUM,na,TC_02,E2,2,no,12.355,3.715,outlier noted on envelope
110,Tiger Creek,TC,ERUM,na,TC_03,F2,2,no,11.01,2.37,
111,Tiger Creek,TC,ERUM,na,TC_04,G2,2,no,10.895,2.255,
112,Tiger Creek,TC,ERUM,na,TC_05,H2,2,no,17.19,8.55,
113,Tiger Creek,TC,ERUM,na,TC_06,A3,2,no,11.32,2.68,
114,Tiger Creek,TC,ERUM,na,TC_07,B3,2,no,15.55,6.91,
115,Tiger Creek,TC,ERUM,na,TC_08,C3,2,no,11.395,2.755,
116,Tiger Creek,TC,ERUM,na,TC_09,D3,2,no,12.845,4.205,
117,Tiger Creek,TC,ERUM,na,TC_10,E3,2,no,23.845,15.205,
118,Tiger Creek,TC,ERUM,na,TC_11,F3,2,no,11.75,3.11,
119,Tiger Creek,TC,ERUM,na,TC_12,G3,2,no,14,5.36,
120,Ukiah,UK,ERUM,na,UK_01,H3,2,no,17.665,9.025,possibly ERHE2
121,Ukiah,UK,ERUM,na,UK_02,A4,2,no,15.09,6.45,
122,Ukiah,UK,ERUM,na,UK_03,B4,2,no,11.045,2.405,
123,Ukiah,UK,ERUM,na,UK_04,C4,2,no,13.13,4.49,
124,Ukiah,UK,ERUM,na,UK_05,D4,2,no,21.29,12.65,
125,Ukiah,UK,ERUM,na,UK_06,E4,2,no,20.39,11.75,
126,Ukiah,UK,ERUM,na,UK_07,F4,2,no,16.08,7.44,
127,Ukiah,UK,ERUM,na,UK_08,G4,2,no,12.545,3.905,
128,Ukiah,UK,ERUM,na,UK_09,H4,2,no,24.815,16.175,
129,Ukiah,UK,ERUM,na,UK_10,A5,2,no,25.66,17.02,
130,Ukiah,UK,ERUM,na,UK_11,B5,2,no,21.565,12.925,
131,Ukiah,UK,ERUM,na,UK_12,C5,2,no,20.735,12.095,
132,Dutch John Creek half mi south,DJ,ERUM,na,DJ_01,D5,2,no,14,5.36,
133,Dutch John Creek half mi south,DJ,ERUM,na,DJ_02,E5,2,no,13.355,4.715,
134,Dutch John Creek half mi south,DJ,ERUM,na,DJ_03,F5,2,no,13.065,4.425,
135,Dutch John Creek half mi south,DJ,ERUM,na,DJ_04,G5,2,no,12.62,3.98,
136,Dutch John Creek half mi south,DJ,ERUM,na,DJ_05,H5,2,no,11.49,2.85,
137,Dutch John Creek half mi south,DJ,ERUM,na,DJ_06,A6,2,no,11.915,3.275,
138,Dutch John Creek half mi south,DJ,ERUM,na,DJ_07,B6,2,no,10.76,2.12,
139,Dutch John Creek half mi south,DJ,ERUM,na,DJ_08,C6,2,no,10.915,2.275,
140,Dutch John Creek half mi south,DJ,ERUM,na,DJ_09,D6,2,no,12.64,4,
141,Dutch John Creek half mi south,DJ,ERUM,na,DJ_10,E6,2,no,12.18,3.54,
142,Dutch John Creek half mi south,DJ,ERUM,na,DJ_11,F6,2,no,14.475,5.835,
143,Dutch John Creek half mi south,DJ,ERUM,na,DJ_12,G6,2,no,11.14,2.5,
144,Big Bend Campground,BB,ERUM,stragulum,BB_01,H6,2,no,11.75,3.11,
145,Big Bend Campground,BB,ERUM,stragulum,BB_02,A7,2,no,11.04,2.4,
146,Big Bend Campground,BB,ERUM,stragulum,BB_03,B7,2,no,18.22,9.58,
147,Big Bend Campground,BB,ERUM,stragulum,BB_04,C7,2,no,9.2,0.56,
148,Big Bend Campground,BB,ERUM,stragulum,BB_05,D7,2,no,10.905,2.265,
149,Big Bend Campground,BB,ERUM,stragulum,BB_06,E7,2,no,11.425,2.785,
150,Big Bend Campground,BB,ERUM,stragulum,BB_07,F7,2,no,10.735,2.095,
151,Big Bend Campground,BB,ERUM,stragulum,BB_08,G7,2,no,30.365,21.725,
152,Big Bend Campground,BB,ERUM,stragulum,BB_09,H7,2,no,12.625,3.985,
153,Big Bend Campground,BB,ERUM,stragulum,BB_10,A8,2,no,9.765,1.125,
154,Blacks Creek Summit,BC,ERUM,ellipticum,BC_01,B8,2,no,11.26,2.62,
155,Blacks Creek Summit,BC,ERUM,ellipticum,BC_02,C8,2,no,11.645,3.005,
156,Blacks Creek Summit,BC,ERUM,ellipticum,BC_03,D8,2,no,9.735,1.095,
157,Blacks Creek Summit,BC,ERUM,ellipticum,BC_04,E8,2,no,14.85,6.21,
158,Blacks Creek Summit,BC,ERUM,ellipticum,BC_05,F8,2,no,45.88,37.24,
159,Blacks Creek Summit,BC,ERUM,ellipticum,BC_06,G8,2,no,14.225,5.585,
160,Blacks Creek Summit,BC,ERUM,ellipticum,BC_07,H8,2,no,12.465,3.825,
161,Blacks Creek Summit,BC,ERUM,ellipticum,BC_08,A9,2,no,9.51,0.87,
162,Blacks Creek Summit,BC,ERUM,ellipticum,BC_09,B9,2,no,12.6,3.96,
163,Blacks Creek Summit,BC,ERUM,ellipticum,BC_10,C9,2,no,13.025,4.385,
164,Elko Hills,EH,ERUM,dichrocephalum,EH_01,D9,2,no,9.655,1.015,
165,Elko Hills,EH,ERUM,dichrocephalum,EH_02,E9,2,no,9.56,0.92,
166,Elko Hills,EH,ERUM,dichrocephalum,EH_03,F9,2,no,13.045,4.405,
167,Elko Hills,EH,ERUM,dichrocephalum,EH_04,G9,2,no,18.35,9.71,
168,Elko Hills,EH,ERUM,dichrocephalum,EH_05,H9,2,no,16.96,8.32,
169,Elko Hills,EH,ERUM,dichrocephalum,EH_06,A10,2,no,9.095,0.455,
170,Elko Hills,EH,ERUM,dichrocephalum,EH_07,B10,2,no,21.13,12.49,
171,Elko Hills,EH,ERUM,dichrocephalum,EH_08,C10,2,no,14.025,5.385,
172,Elko Hills,EH,ERUM,dichrocephalum,EH_09,D10,2,no,11.35,2.71,
173,Elko Hills,EH,ERUM,dichrocephalum,EH_10,E10,2,no,14.105,5.465,
174,Greys Peak,GP,ERUM,porteri,GP_01,F10,2,no,10.84,2.2,
175,Greys Peak,GP,ERUM,porteri,GP_02,G10,2,no,15.225,6.585,
176,Greys Peak,GP,ERUM,porteri,GP_03,H10,2,no,13.155,4.515,
177,Greys Peak,GP,ERUM,porteri,GP_04,A11,2,no,13.045,4.405,
178,Greys Peak,GP,ERUM,porteri,GP_05,B11,2,no,13.48,4.84,
179,Greys Peak,GP,ERUM,porteri,GP_06,C11,2,no,15.085,6.445,
180,Greys Peak,GP,ERUM,porteri,GP_07,D11,2,no,15.385,6.745,
181,Greys Peak,GP,ERUM,porteri,GP_08,E11,2,no,13.37,4.73,
182,Greys Peak,GP,ERUM,porteri,GP_09,F11,2,no,9.8,1.16,
183,Greys Peak,GP,ERUM,porteri,GP_10,G11,2,no,39.055,30.415,
184,Dorsey Creek,DC,ERUM,aureum,DC_01,H11,2,no,12.29,3.65,
185,Dorsey Creek,DC,ERUM,aureum,DC_02,A12,2,no,19.17,10.53,
186,Dorsey Creek,DC,ERUM,aureum,DC_03,B12,2,no,14.77,6.13,
187,Dorsey Creek,DC,ERUM,aureum,DC_04,C12,2,no,14.145,5.505,
188,Dorsey Creek,DC,ERUM,aureum,DC_05,D12,2,no,14.445,5.805,
189,Dorsey Creek,DC,ERUM,aureum,DC_06,E12,2,no,13.05,4.41,
190,Dorsey Creek,DC,ERUM,aureum,DC_07,F12,2,no,14.41,5.77,
191,empty,na,na,na,empty,G12,2,na,8.55,-0.09,
192,empty,na,na,na,empty,H12,2,na,8.73,0.09,
193,McAfee Peak,MP,ERUM,na,MP_01,A1,3,no,16.06,8.4625,
194,McAfee Peak,MP,ERUM,na,MP_02,B1,3,no,11.9,4.3025,
195,McAfee Peak,MP,ERUM,na,MP_03,C1,3,no,18.575,10.9775,
196,McAfee Peak,MP,ERUM,na,MP_04,D1,3,no,12.145,4.5475,
197,McAfee Peak,MP,ERUM,na,MP_05,E1,3,no,13.645,6.0475,
198,McAfee Peak,MP,ERUM,na,MP_06,F1,3,no,13.59,5.9925,
199,McAfee Peak,MP,ERUM,na,MP_07,G1,3,no,11.255,3.6575,
200,McAfee Peak,MP,ERUM,na,MP_08,H1,3,no,13.38,5.7825,
201,McAfee Peak,MP,ERUM,na,MP_09,A2,3,no,11.545,3.9475,
202,McAfee Peak,MP,ERUM,na,MP_10,B2,3,no,11.565,3.9675,
203,McAfee Peak,MP,ERUM,na,MP_11,C2,3,no,13.485,5.8875,
204,McAfee Peak,MP,ERUM,na,MP_12,D2,3,no,14.295,6.6975,
205,Buckskin Loop,BL,ERUM,aureum,BL_01,E2,3,no,15.27,7.6725,
206,Buckskin Loop,BL,ERUM,aureum,BL_02,F2,3,no,9.855,2.2575,
207,Buckskin Loop,BL,ERUM,aureum,BL_03,G2,3,no,10.435,2.8375,
208,Buckskin Loop,BL,ERUM,aureum,BL_04,H2,3,no,10.16,2.5625,
209,Buckskin Loop,BL,ERUM,aureum,BL_05,A3,3,no,14.33,6.7325,
210,Buckskin Loop,BL,ERUM,aureum,BL_06,B3,3,no,12.745,5.1475,
211,Buckskin Loop,BL,ERUM,aureum,BL_07,C3,3,no,13.515,5.9175,
212,Buckskin Loop,BL,ERUM,aureum,BL_08,D3,3,no,14.28,6.6825,
213,Buckskin Loop,BL,ERUM,aureum,BL_09,E3,3,no,12.74,5.1425,
214,Buckskin Loop,BL,ERUM,aureum,BL_10,F3,3,no,12.08,4.4825,
215,Buckskin Loop,BL,ERUM,aureum,BL_11,G3,3,no,12.155,4.5575,
216,Buckskin Loop,BL,ERUM,aureum,BL_12,H3,3,no,12.05,4.4525,
217,Camas Prairie,CP,ERUM,umbellatum,CP_01,A4,3,no,15.58,7.9825,
218,Camas Prairie,CP,ERUM,umbellatum,CP_02,B4,3,no,11.775,4.1775,
219,Camas Prairie,CP,ERUM,umbellatum,CP_03,C4,3,no,10.725,3.1275,
220,Camas Prairie,CP,ERUM,umbellatum,CP_04,D4,3,no,14.065,6.4675,
221,Camas Prairie,CP,ERUM,umbellatum,CP_05,E4,3,no,16.715,9.1175,
222,Camas Prairie,CP,ERUM,umbellatum,CP_06,F4,3,no,13.15,5.5525,
223,Camas Prairie,CP,ERUM,umbellatum,CP_07,G4,3,no,9.64,2.0425,
224,Camas Prairie,CP,ERUM,umbellatum,CP_08,H4,3,no,10.185,2.5875,
225,Camas Prairie,CP,ERUM,umbellatum,CP_09,A5,3,no,11.4,3.8025,
