Sort,Population,Population_Code,Species,Variety,Sample,Well,Plate,Replicate,DNA_ug_ml,DNA_ug_ml_adj,Notes
226,Camas Prairie,CP,ERUM,umbellatum,CP_10,B5,3,no,13.135,5.5375,
227,Little Camas Res,CR,ERUM,na,CR_01,C5,3,no,11.84,4.2425,
228,Little Camas Res,CR,ERUM,na,CR_02,D5,3,no,14.855,7.2575,
229,Little Camas Res,CR,ERUM,na,CR_03,E5,3,no,14.855,7.2575,
230,Little Camas Res,CR,ERUM,na,CR_04,F5,3,no,13.35,5.7525,
231,Little Camas Res,CR,ERUM,na,CR_05,G5,3,no,12.845,5.2475,
232,Little Camas Res,CR,ERUM,na,CR_06,H5,3,no,14.78,7.1825,
233,Little Camas Res,CR,ERUM,na,CR_07,A6,3,no,13.405,5.8075,
234,Little Camas Res,CR,ERUM,na,CR_08,B6,3,no,12.435,4.8375,
235,Little Camas Res,CR,ERUM,na,CR_09,C6,3,no,14.86,7.2625,
236,Little Camas Res,CR,ERUM,na,CR_10,D6,3,no,17.05,9.4525,
237,Camas Creek Macon Flat,CC,ERUM,majus,CC_01,E6,3,no,12.555,4.9575,
238,Camas Creek Macon Flat,CC,ERUM,majus,CC_02,F6,3,no,19.825,12.2275,
239,Camas Creek Macon Flat,CC,ERUM,majus,CC_03,G6,3,no,15.205,7.6075,
240,Camas Creek Macon Flat,CC,ERUM,majus,CC_04,H6,3,no,14.555,6.9575,
241,Camas Creek Macon Flat,CC,ERUM,majus,CC_05,A7,3,no,11.81,4.2125,
242,Camas Creek Macon Flat,CC,ERUM,majus,CC_06,B7,3,no,12.92,5.3225,
243,Camas Creek Macon Flat,CC,ERUM,majus,CC_07,C7,3,no,14.385,6.7875,
244,Camas Creek Macon Flat,CC,ERUM,majus,CC_08,D7,3,no,11.645,4.0475,
245,Camas Creek Macon Flat,CC,ERUM,majus,CC_09,E7,3,no,13.58,5.9825,
246,Camas Creek Macon Flat,CC,ERUM,majus,CC_10,F7,3,no,10.735,3.1375,
247,Magic Reservoir,MR,ERUM,stragulum,MR_01,G7,3,no,14.87,7.2725,
248,Magic Reservoir,MR,ERUM,stragulum,MR_02,H7,3,no,15.205,7.6075,
249,Magic Reservoir,MR,ERUM,stragulum,MR_03,A8,3,no,10.77,3.1725,
250,Magic Reservoir,MR,ERUM,stragulum,MR_04,B8,3,no,13.535,5.9375,
251,Magic Reservoir,MR,ERUM,stragulum,MR_05,C8,3,no,15.105,7.5075,
252,Magic Reservoir,MR,ERUM,stragulum,MR_06,D8,3,no,13.09,5.4925,
253,Magic Reservoir,MR,ERUM,stragulum,MR_07,E8,3,no,13.16,5.5625,
254,Magic Reservoir,MR,ERUM,stragulum,MR_08,F8,3,no,11.125,3.5275,
255,Magic Reservoir,MR,ERUM,stragulum,MR_09,G8,3,no,18.36,10.7625,
256,Magic Reservoir,MR,ERUM,stragulum,MR_10,H8,3,no,10.23,2.6325,
257,Wells Summit,WS,ERUM,majus,WS_01,A9,3,no,9.115,1.5175,
258,Wells Summit,WS,ERUM,majus,WS_02,B9,3,no,12.36,4.7625,
259,Wells Summit,WS,ERUM,majus,WS_03,C9,3,no,13.135,5.5375,
260,Wells Summit,WS,ERUM,majus,WS_04,D9,3,no,15.06,7.4625,
261,Wells Summit,WS,ERUM,majus,WS_05,E9,3,no,9.92,2.3225,
262,Wells Summit,WS,ERUM,majus,WS_06,F9,3,no,13.995,6.3975,
263,Wells Summit,WS,ERUM,majus,WS_07,G9,3,no,13.935,6.3375,
264,Wells Summit,WS,ERUM,majus,WS_08,H9,3,no,10.1,2.5025,
265,Wells Summit,WS,ERUM,majus,WS_09,A10,3,no,9.375,1.7775,
266,Wells Summit,WS,ERUM,majus,WS_10,B10,3,no,12.13,4.5325,
267,Adams Gulch,AG,ERUM,na,AG_01,C10,3,no,20.295,12.6975,
268,Adams Gulch,AG,ERUM,na,AG_02,D10,3,no,24.585,16.9875,
269,Adams Gulch,AG,ERUM,na,AG_03,E10,3,no,13.155,5.5575,
270,Adams Gulch,AG,ERUM,na,AG_04,F10,3,no,10.625,3.0275,
271,Adams Gulch,AG,ERUM,na,AG_05,G10,3,no,10.85,3.2525,
272,Adams Gulch,AG,ERUM,na,AG_06,H10,3,no,12.04,4.4425,
273,Adams Gulch,AG,ERUM,na,AG_07,A11,3,no,21.095,13.4975,
274,Adams Gulch,AG,ERUM,na,AG_08,B11,3,no,17.485,9.8875,
275,Adams Gulch,AG,ERUM,na,AG_09,C11,3,no,18.05,10.4525,
276,Adams Gulch,AG,ERUM,na,AG_10,D11,3,no,18.63,11.0325,
277,Lower Penstemon CG Magic Mountain,LP,ERUM,na,LP_01,E11,3,no,12.415,4.8175,
278,Lower Penstemon CG Magic Mountain,LP,ERUM,na,LP_02,F11,3,no,12.58,4.9825,
279,Lower Penstemon CG Magic Mountain,LP,ERUM,na,LP_03,G11,3,no,20.835,13.2375,
280,Lower Penstemon CG Magic Mountain,LP,ERUM,na,LP_04,H11,3,no,17.3,9.7025,
281,Lower Penstemon CG Magic Mountain,LP,ERUM,na,LP_05,A12,3,no,16,8.4025,
282,Lower Penstemon CG Magic Mountain,LP,ERUM,na,LP_06,B12,3,no,70.42,62.8225,
283,Lower Penstemon CG Magic Mountain,LP,ERUM,na,LP_07,C12,3,no,24.55,16.9525,
284,Lower Penstemon CG Magic Mountain,LP,ERUM,na,LP_08,D12,3,no,21.425,13.8275,
285,Lower Penstemon CG Magic Mountain,LP,ERUM,na,LP_09,E12,3,no,17.705,10.1075,
286,Lower Penstemon CG Magic Mountain,LP,ERUM,na,LP_10,F12,3,no,13.365,5.7675,
287,empty,na,na,na,empty,G12,3,na,8.26,0.6625,
288,empty,na,na,na,empty,H12,3,na,6.935,-0.6625,
289,Mt Harrison,MH,ERUM,dichrocephalum,MH_01,A1,4,no,12.92,4.6175,
290,Mt Harrison,MH,ERUM,dichrocephalum,MH_02,B1,4,no,11.9,3.5975,
291,Mt Harrison,MH,ERUM,dichrocephalum,MH_03,C1,4,no,14.33,6.0275,
292,Mt Harrison,MH,ERUM,dichrocephalum,MH_04,D1,4,no,11.91,3.6075,
293,Mt Harrison,MH,ERUM,dichrocephalum,MH_05,E1,4,no,13.415,5.1125,
294,Mt Harrison,MH,ERUM,dichrocephalum,MH_06,F1,4,no,12.635,4.3325,
295,Mt Harrison,MH,ERUM,dichrocephalum,MH_07,G1,4,no,12.15,3.8475,
296,Mt Harrison,MH,ERUM,dichrocephalum,MH_08,H1,4,no,11.035,2.7325,
297,Mt Harrison,MH,ERUM,dichrocephalum,MH_09,A2,4,no,10.985,2.6825,
298,Mt Harrison,MH,ERUM,dichrocephalum,MH_10,B2,4,no,11.135,2.8325,
299,Bend,BD,ERUM,modocense,BD_01,C2,4,no,14.955,6.6525,
300,Bend,BD,ERUM,modocense,BD_02,D2,4,no,13.23,4.9275,
301,Bend,BD,ERUM,modocense,BD_03,E2,4,no,14.02,5.7175,
302,Bend,BD,ERUM,modocense,BD_04,F2,4,no,12.84,4.5375,
303,Bend,BD,ERUM,modocense,BD_05,G2,4,no,13.21,4.9075,
304,Bend,BD,ERUM,modocense,BD_06,H2,4,no,12.675,4.3725,
305,Bend,BD,ERUM,modocense,BD_07,A3,4,no,11.685,3.3825,
306,Bend,BD,ERUM,modocense,BD_08,B3,4,no,11.525,3.2225,
307,Bend,BD,ERUM,modocense,BD_09,C3,4,no,10.8,2.4975,
308,Bend,BD,ERUM,modocense,BD_10,D3,4,no,10.68,2.3775,
309,Mt Bachelor Cinder Cone,MB,ERUM,na,MB_01,E3,4,no,14.18,5.8775,
310,Mt Bachelor Cinder Cone,MB,ERUM,na,MB_02,F3,4,no,11.08,2.7775,
311,Mt Bachelor Cinder Cone,MB,ERUM,na,MB_03,G3,4,no,13.905,5.6025,
312,Mt Bachelor Cinder Cone,MB,ERUM,na,MB_04,H3,4,no,10.985,2.6825,
313,Mt Bachelor Cinder Cone,MB,ERUM,na,MB_05,A4,4,no,13.905,5.6025,
314,Mt Bachelor Cinder Cone,MB,ERUM,na,MB_06,B4,4,no,10.705,2.4025,
315,Mt Bachelor Cinder Cone,MB,ERUM,na,MB_07,C4,4,no,19.805,11.5025,
316,Mt Bachelor Cinder Cone,MB,ERUM,na,MB_08,D4,4,no,12.29,3.9875,
317,Mt Bachelor Cinder Cone,MB,ERUM,na,MB_09,E4,4,no,19.16,10.8575,
318,Mt Bachelor Cinder Cone,MB,ERUM,na,MB_10,F4,4,no,13.36,5.0575,
319,Julietta,JU,ERUM,na,JU_01,G4,4,no,24.905,16.6025,
320,Julietta,JU,ERUM,na,JU_02,H4,4,no,16.985,8.6825,
321,Julietta,JU,ERUM,na,JU_03,A5,4,no,18.86,10.5575,
322,Julietta,JU,ERUM,na,JU_04,B5,4,no,16.79,8.4875,
323,Julietta,JU,ERUM,na,JU_05,C5,4,no,15.57,7.2675,
324,Julietta,JU,ERUM,na,JU_06,D5,4,no,15.85,7.5475,
325,Julietta,JU,ERUM,na,JU_07,E5,4,no,18.85,10.5475,
326,Julietta,JU,ERUM,na,JU_08,F5,4,no,22.24,13.9375,
327,Julietta,JU,ERUM,na,JU_09,G5,4,no,22.87,14.5675,
328,Julietta,JU,ERUM,na,JU_10,H5,4,no,22.02,13.7175,
329,Julietta,JU,ERUM,na,JU_11,A6,4,yes,18,9.6975,
330,Julietta,JU,ERUM,na,JU_11,B6,4,yes,27.885,19.5825,
331,Stoddard,ST,ERUM,na,ST_01,C6,4,no,9.71,1.4075,voucher
332,Stoddard,ST,ERUM,na,ST_02,D6,4,no,16.215,7.9125,
333,Stoddard,ST,ERUM,na,ST_03,E6,4,no,13.695,5.3925,
334,Stoddard,ST,ERUM,na,ST_04,F6,4,no,14.34,6.0375,
335,Stoddard,ST,ERUM,na,ST_05,G6,4,no,17.035,8.7325,
336,Stoddard,ST,ERUM,na,ST_06,H6,4,no,11.64,3.3375,
337,Stoddard,ST,ERUM,na,ST_07,A7,4,no,14.49,6.1875,
338,Stoddard,ST,ERUM,na,ST_08,B7,4,no,13.63,5.3275,
339,Stoddard,ST,ERUM,na,ST_09,C7,4,no,12.595,4.2925,
340,Stoddard,ST,ERUM,na,ST_10,D7,4,no,12.015,3.7125,
341,Stoddard,ST,ERUM,na,ST_11,E7,4,no,13.97,5.6675,
342,Stoddard,ST,ERUM,na,ST_12,F7,4,no,14.605,6.3025,
343,Stoddard,ST,ERUM,na,ST_13,G7,4,no,16.375,8.0725,
344,Stoddard,ST,ERUM,na,ST_14,H7,4,no,14.09,5.7875,
345,Stoddard,ST,ERUM,na,ST_15,A8,4,no,18.61,10.3075,
346,Stoddard,ST,ERUM,na,ST_16,B8,4,no,9.945,1.6425,
347,Whitehall,WH,ERUM,na,WH_01,C8,4,no,10.63,2.3275,voucher
348,Whitehall,WH,ERUM,na,WH_02,D8,4,no,10.85,2.5475,
349,Whitehall,WH,ERUM,na,WH_03,E8,4,no,11.685,3.3825,
350,Whitehall,WH,ERUM,na,WH_04,F8,4,no,14.625,6.3225,
351,Whitehall,WH,ERUM,na,WH_05,G8,4,no,16.585,8.2825,
352,Whitehall,WH,ERUM,na,WH_06,H8,4,no,11.465,3.1625,
353,Whitehall,WH,ERUM,na,WH_07,A9,4,no,13.13,4.8275,
354,Whitehall,WH,ERUM,na,WH_08,B9,4,no,13.165,4.8625,
355,Whitehall,WH,ERUM,na,WH_09,C9,4,no,11.495,3.1925,
356,Whitehall,WH,ERUM,na,WH_10,D9,4,no,12.82,4.5175,
357,Whitehall,WH,ERUM,na,WH_11,E9,4,no,11.335,3.0325,
358,Whitehall,WH,ERUM,na,WH_12,F9,4,no,14.155,5.8525,
359,Whitehall,WH,ERUM,na,WH_13,G9,4,no,12.25,3.9475,
360,Whitehall,WH,ERUM,na,WH_14,H9,4,yes,10.155,1.8525,
361,Whitehall,WH,ERUM,na,WH_14,A10,4,yes,12.735,4.4325,
362,Rainier Mesa,RM,ERUM,subaridum,RM_01,B10,4,no,11.515,3.2125,
363,Rainier Mesa,RM,ERUM,subaridum,RM_02,C10,4,no,12.26,3.9575,
364,Rainier Mesa,RM,ERUM,subaridum,RM_03,D10,4,no,11.87,3.5675,
365,Rainier Mesa,RM,ERUM,subaridum,RM_04,E10,4,no,12.835,4.5325,
366,Rainier Mesa,RM,ERUM,subaridum,RM_05,F10,4,no,11.37,3.0675,
367,Rainier Mesa,RM,ERUM,subaridum,RM_06,G10,4,no,13.795,5.4925,
368,Rainier Mesa,RM,ERUM,subaridum,RM_07,H10,4,no,11.91,3.6075,
369,Rainier Mesa,RM,ERUM,subaridum,RM_08,A11,4,no,14.915,6.6125,
370,Rainier Mesa,RM,ERUM,subaridum,RM_09,B11,4,no,15.215,6.9125,
371,Wooten,WO,Eriogonum sp.,na,WO_01,C11,4,no,22.135,13.8325,
372,Wooten,WO,Eriogonum sp.,na,WO_02,D11,4,no,12.18,3.8775,
373,Wooten,WO,Eriogonum sp.,na,WO_03,E11,4,no,10.095,1.7925,
374,Wooten,WO,Eriogonum sp.,na,WO_04,F11,4,no,11.225,2.9225,
375,Wooten,WO,Eriogonum sp.,na,WO_05,G11,4,no,13.275,4.9725,
376,Wooten,WO,Eriogonum sp.,na,WO_06,H11,4,no,9.155,0.8525,
377,Wooten,WO,Eriogonum sp.,na,WO_07,A12,4,no,10.035,1.7325,
378,Wooten,WO,Eriogonum sp.,na,WO_08,B12,4,no,14.78,6.4775,
379,Wooten,WO,Eriogonum sp.,na,WO_09,C12,4,no,13.48,5.1775,
380,Wooten,WO,Eriogonum sp.,na,WO_10,D12,4,no,11.13,2.8275,
381,Wooten,WO,Eriogonum sp.,na,WO_11,E12,4,no,9.44,1.1375,
382,Wooten,WO,Eriogonum sp.,na,WO_12,F12,4,no,14.395,6.0925,
383,empty,na,na,na,empty,G12,4,na,8.95,0.6475,
384,empty,na,na,na,empty,H12,4,na,7.655,-0.6475,
385,Tippipah Spring,TS,ERUM,vernum,TS_01,A1,5,no,10.555,2.7975,
386,Tippipah Spring,TS,ERUM,vernum,TS_02,B1,5,no,10.385,2.6275,
387,Tippipah Spring,TS,ERUM,vernum,TS_03,C1,5,no,10.255,2.4975,
388,Tippipah Spring,TS,ERUM,vernum,TS_04,D1,5,no,20.39,12.6325,
389,Tippipah Spring,TS,ERUM,vernum,TS_05,E1,5,no,13.385,5.6275,
390,Tippipah Spring,TS,ERUM,vernum,TS_06,F1,5,no,10.24,2.4825,
391,Tippipah Spring,TS,ERUM,vernum,TS_07,G1,5,no,14.99,7.2325,
392,Tippipah Spring,TS,ERUM,vernum,TS_08,H1,5,no,7.66,-0.0975,
393,Tippipah Spring,TS,ERUM,vernum,TS_09,A2,5,no,11.5,3.7425,
394,Tippipah Spring,TS,ERUM,vernum,TS_10,B2,5,no,11.515,3.7575,
395,Tippipah Point,TP,ERUM,vernum,TP_01,C2,5,no,27.955,20.1975,
396,Tippipah Point,TP,ERUM,vernum,TP_02,D2,5,no,23.62,15.8625,
397,Tippipah Point,TP,ERUM,vernum,TP_03,E2,5,no,12.585,4.8275,
398,Tippipah Point,TP,ERUM,vernum,TP_04,F2,5,no,10.105,2.3475,
399,Tippipah Point,TP,ERUM,vernum,TP_05,G2,5,no,9.81,2.0525,
400,Tippipah Point,TP,ERUM,vernum,TP_06,H2,5,no,8.92,1.1625,
401,Tippipah Point,TP,ERUM,vernum,TP_07,A3,5,no,8.21,0.4525,
402,Tippipah Point,TP,ERUM,vernum,TP_08,B3,5,no,12.125,4.3675,
403,Tippipah Point,TP,ERUM,vernum,TP_09,C3,5,no,18.375,10.6175,
404,Tippipah Point,TP,ERUM,vernum,TP_10,D3,5,no,10.49,2.7325,
405,Shoshone Mountain,SM,ERUM,na,SM_01,E3,5,no,11.04,3.2825,discolored
406,Shoshone Mountain,SM,ERUM,na,SM_02,F3,5,no,10.515,2.7575,
407,Shoshone Mountain,SM,ERUM,na,SM_03,G3,5,no,11.06,3.3025,
408,Shoshone Mountain,SM,ERUM,na,SM_04,H3,5,no,9.555,1.7975,
409,Shoshone Mountain,SM,ERUM,na,SM_05,A4,5,no,11.255,3.4975,
410,Shoshone Mountain,SM,ERUM,na,SM_06,B4,5,no,9.87,2.1125,
411,Shoshone Mountain,SM,ERUM,na,SM_07,C4,5,no,8.98,1.2225,
412,Shoshone Mountain,SM,ERUM,na,SM_08,D4,5,no,9.81,2.0525,discolored
413,Shoshone Mountain,SM,ERUM,na,SM_09,E4,5,no,10.075,2.3175,
414,Shoshone Mountain,SM,ERUM,na,SM_10,F4,5,no,11.59,3.8325,
415,White Rock Spring,WR,ERUM,versicolor,WR_01,G4,5,no,13.68,5.9225,
416,White Rock Spring,WR,ERUM,versicolor,WR_02,H4,5,no,11.825,4.0675,
417,White Rock Spring,WR,ERUM,versicolor,WR_03,A5,5,no,12.065,4.3075,
418,White Rock Spring,WR,ERUM,versicolor,WR_04,B5,5,no,9.765,2.0075,
419,White Rock Spring,WR,ERUM,versicolor,WR_05,C5,5,no,16.86,9.1025,
420,White Rock Spring,WR,ERUM,versicolor,WR_06,D5,5,no,10.2,2.4425,
421,White Rock Spring,WR,ERUM,versicolor,WR_07,E5,5,no,11.225,3.4675,
422,White Rock Spring,WR,ERUM,versicolor,WR_08,F5,5,no,13.565,5.8075,
423,White Rock Spring,WR,ERUM,versicolor,WR_09,G5,5,no,14.035,6.2775,
424,White Rock Spring,WR,ERUM,versicolor,WR_10,H5,5,no,10.395,2.6375,
425,Hancock Summit,HS,ERUM,dichrocephalum,HS_01,A6,5,no,12.92,5.1625,
426,Hancock Summit,HS,ERUM,dichrocephalum,HS_02,B6,5,no,10.58,2.8225,
427,Hancock Summit,HS,ERUM,dichrocephalum,HS_03,C6,5,no,10.675,2.9175,
428,Hancock Summit,HS,ERUM,dichrocephalum,HS_04,D6,5,no,10.505,2.7475,
429,Hancock Summit,HS,ERUM,dichrocephalum,HS_05,E6,5,no,10.555,2.7975,
430,Hancock Summit,HS,ERUM,dichrocephalum,HS_06,F6,5,no,12.335,4.5775,
431,Hancock Summit,HS,ERUM,dichrocephalum,HS_07,G6,5,no,12.295,4.5375,
432,Hancock Summit,HS,ERUM,dichrocephalum,HS_08,H6,5,no,14.1,6.3425,
433,Hancock Summit,HS,ERUM,dichrocephalum,HS_09,A7,5,no,11.39,3.6325,
434,Hancock Summit,HS,ERUM,dichrocephalum,HS_10,B7,5,no,9.975,2.2175,
435,White River Highway 6,WV,ERUM,juniporinum,WV_01,C7,5,no,11.31,3.5525,
436,White River Highway 6,WV,ERUM,juniporinum,WV_02,D7,5,no,11.14,3.3825,
437,White River Highway 6,WV,ERUM,juniporinum,WV_03,E7,5,no,10.37,2.6125,
438,White River Highway 6,WV,ERUM,juniporinum,WV_04,F7,5,no,13.55,5.7925,
439,White River Highway 6,WV,ERUM,juniporinum,WV_05,G7,5,no,14,6.2425,
440,White River Highway 6,WV,ERUM,juniporinum,WV_06,H7,5,no,12.53,4.7725,
441,White River Highway 6,WV,ERUM,juniporinum,WV_07,A8,5,no,12.915,5.1575,
442,White River Highway 6,WV,ERUM,juniporinum,WV_08,B8,5,no,11.775,4.0175,
443,White River Highway 6,WV,ERUM,juniporinum,WV_09,C8,5,no,12.4,4.6425,
444,White River Highway 6,WV,ERUM,juniporinum,WV_10,D8,5,no,11.075,3.3175,
445,Scroggen,SG,ERHE2,na,SG_01,E8,5,no,12.81,5.0525,voucher
446,Scroggen,SG,ERHE2,na,SG_02,F8,5,no,10.96,3.2025,
447,Scroggen,SG,ERHE2,na,SG_03,G8,5,no,12.665,4.9075,
448,Scroggen,SG,ERHE2,na,SG_04,H8,5,no,11.39,3.6325,
449,Scroggen,SG,ERHE2,na,SG_05,A9,5,no,12.23,4.4725,
450,Scroggen,SG,ERHE2,na,SG_06,B9,5,no,11.59,3.8325,
451,Scroggen,SG,ERHE2,na,SG_07,C9,5,no,11.125,3.3675,
