Sort,Population,Population_Code,Species,Variety,Sample,Well,Plate,Replicate,DNA_ug_ml,DNA_ug_ml_adj,Notes
452,Scroggen,SG,ERHE2,na,SG_08,D9,5,no,9.905,2.1475,
453,Scroggen,SG,ERHE2,na,SG_09,E9,5,no,10.695,2.9375,
454,Scroggen,SG,ERHE2,na,SG_10,F9,5,no,10.53,2.7725,
455,Scroggen,SG,ERHE2,na,SG_11,G9,5,no,11.69,3.9325,
456,Scroggen,SG,ERHE2,na,SG_12,H9,5,no,9.875,2.1175,
457,Scroggen,SG,ERHE2,na,SG_13,A10,5,no,9.315,1.5575,
458,Scroggen,SG,ERHE2,na,SG_14,B10,5,no,10.94,3.1825,
459,Scroggen,SG,ERHE2,na,SG_15,C10,5,no,10.58,2.8225,
460,Sunflower flat,SF,ERUM,na,SF_01,D10,5,no,11.08,3.3225,voucher
461,Sunflower flat,SF,ERUM,na,SF_02,E10,5,no,10.695,2.9375,
462,Sunflower flat,SF,ERUM,na,SF_03,F10,5,no,13.31,5.5525,
463,Sunflower flat,SF,ERUM,na,SF_04,G10,5,no,11.305,3.5475,
464,Sunflower flat,SF,ERUM,na,SF_05,H10,5,no,8.5,0.7425,
465,Sunflower flat,SF,ERUM,na,SF_06,A11,5,no,10.81,3.0525,
466,Sunflower flat,SF,ERUM,na,SF_07,B11,5,no,17.9,10.1425,
467,Sunflower flat,SF,ERUM,na,SF_08,C11,5,no,15.255,7.4975,
468,Sunflower flat,SF,ERUM,na,SF_09,D11,5,no,16.115,8.3575,
469,Sunflower flat,SF,ERUM,na,SF_10,E11,5,no,9.035,1.2775,
470,Sunflower flat,SF,ERUM,na,SF_11,F11,5,no,11.125,3.3675,
471,Sunflower flat,SF,ERUM,na,SF_12,G11,5,no,10.865,3.1075,
472,Sunflower flat,SF,ERUM,na,SF_13,H11,5,no,10.865,3.1075,
473,Sunflower flat,SF,ERUM,na,SF_14,A12,5,no,9.525,1.7675,
474,Sunflower flat,SF,ERUM,na,SF_15,B12,5,no,13.255,5.4975,
475,Sunflower flat,SF,ERUM,na,SF_16,C12,5,no,22.925,15.1675,
476,Sunflower flat,SF,ERUM,na,SF_17,D12,5,no,17.29,9.5325,
477,Sunflower flat,SF,ERUM,na,SF_18,E12,5,no,16.85,9.0925,
478,Sunflower flat,SF,ERUM,na,SF_19,F12,5,no,18.235,10.4775,
479,empty,na,na,na,empty,G12,5,na,8.355,0.5975,
480,empty,na,na,na,empty,H12,5,na,7.16,-0.5975,
481,Sheep Mountain,SH,ERUM,na,SH_01,A1,6,no,18.925,8.28,
482,Sheep Mountain,SH,ERUM,na,SH_02,B1,6,no,11.335,0.69,
483,Sheep Mountain,SH,ERUM,na,SH_03,C1,6,no,17.55,6.905,
484,Sheep Mountain,SH,ERUM,na,SH_04,D1,6,no,18.955,8.31,
485,Sheep Mountain,SH,ERUM,na,SH_05,E1,6,no,17.245,6.6,
486,Sheep Mountain,SH,ERUM,na,SH_06,F1,6,no,11.365,0.72,
487,Sheep Mountain,SH,ERUM,na,SH_07,G1,6,no,19.805,9.16,
488,Sheep Mountain,SH,ERUM,na,SH_08,H1,6,no,18.73,8.085,
489,Sheep Mountain,SH,ERUM,na,SH_09,A2,6,no,14.455,3.81,
490,Sheep Mountain,SH,ERUM,na,SH_10,B2,6,no,15.085,4.44,
491,Truck Stuck in mud,TR,ERUM,na,TR_01,C2,6,no,13.445,2.8,
492,Truck Stuck in mud,TR,ERUM,na,TR_02,D2,6,no,16.585,5.94,
493,Truck Stuck in mud,TR,ERUM,na,TR_03,E2,6,no,15.84,5.195,
494,Truck Stuck in mud,TR,ERUM,na,TR_04,F2,6,no,11.45,0.805,
495,Truck Stuck in mud,TR,ERUM,na,TR_05,G2,6,no,12.375,1.73,
496,Truck Stuck in mud,TR,ERUM,na,TR_06,H2,6,no,13.115,2.47,
497,Truck Stuck in mud,TR,ERUM,na,TR_07,A3,6,no,13.15,2.505,
498,Truck Stuck in mud,TR,ERUM,na,TR_08,B3,6,no,11.32,0.675,
499,Truck Stuck in mud,TR,ERUM,na,TR_09,C3,6,no,12.64,1.995,
500,Truck Stuck in mud,TR,ERUM,na,TR_10,D3,6,no,14.575,3.93,
501,Bob Scott Campground,BS,ERUM,na,BS_01,E3,6,no,11.28,0.635,
502,Bob Scott Campground,BS,ERUM,na,BS_02,F3,6,no,13.115,2.47,
503,Bob Scott Campground,BS,ERUM,na,BS_03,G3,6,no,12.185,1.54,
504,Bob Scott Campground,BS,ERUM,na,BS_04,H3,6,no,11.485,0.84,
505,Bob Scott Campground,BS,ERUM,na,BS_05,A4,6,no,9.66,-0.985,
506,Bob Scott Campground,BS,ERUM,na,BS_06,B4,6,no,10.375,-0.27,
507,Bob Scott Campground,BS,ERUM,na,BS_07,C4,6,no,9.895,-0.75,
508,Bob Scott Campground,BS,ERUM,na,BS_08,D4,6,no,9.48,-1.165,
509,Bob Scott Campground,BS,ERUM,na,BS_09,E4,6,no,10.16,-0.485,
510,Bob Scott Campground,BS,ERUM,na,BS_10,F4,6,no,16.56,5.915,
511,Murry Summit,MS,ERUM,na,MS_01,G4,6,no,13.065,2.42,
512,Murry Summit,MS,ERUM,na,MS_02,H4,6,no,10.51,-0.135,
513,Murry Summit,MS,ERUM,na,MS_03,A5,6,no,10.42,-0.225,
514,Murry Summit,MS,ERUM,na,MS_04,B5,6,no,11.25,0.605,
515,Murry Summit,MS,ERUM,na,MS_05,C5,6,no,13.655,3.01,
516,Murry Summit,MS,ERUM,na,MS_06,D5,6,no,9.595,-1.05,
517,Murry Summit,MS,ERUM,na,MS_07,E5,6,no,11.42,0.775,
518,Murry Summit,MS,ERUM,na,MS_08,F5,6,no,10.345,-0.3,
519,Murry Summit,MS,ERUM,na,MS_09,G5,6,no,9.65,-0.995,
520,Murry Summit,MS,ERUM,na,MS_10,H5,6,no,10.425,-0.22,
521,"Hice Spring, Knoll Creek",HK,ERUM,na,HK_01,A6,6,no,10.43,-0.215,
522,"Hice Spring, Knoll Creek",HK,ERUM,na,HK_02,B6,6,no,12.305,1.66,
523,"Hice Spring, Knoll Creek",HK,ERUM,na,HK_03,C6,6,no,11.47,0.825,
524,"Hice Spring, Knoll Creek",HK,ERUM,na,HK_04,D6,6,no,11.435,0.79,
525,"Hice Spring, Knoll Creek",HK,ERUM,na,HK_05,E6,6,no,10.54,-0.105,
526,"Hice Spring, Knoll Creek",HK,ERUM,na,HK_06,F6,6,no,12.74,2.095,
527,"Hice Spring, Knoll Creek",HK,ERUM,na,HK_07,G6,6,no,9.845,-0.8,
528,"Hice Spring, Knoll Creek",HK,ERUM,na,HK_08,H6,6,no,12.425,1.78,
529,"Hice Spring, Knoll Creek",HK,ERUM,na,HK_09,A7,6,no,10.045,-0.6,
530,"Hice Spring, Knoll Creek",HK,ERUM,na,HK_10,B7,6,no,12.035,1.39,
531,Kalamazoo Canyon,KA,ERUM,na,KA_01,C7,6,no,10.17,-0.475,
532,Kalamazoo Canyon,KA,ERUM,na,KA_02,D7,6,no,10.3,-0.345,
533,Kalamazoo Canyon,KA,ERUM,na,KA_03,E7,6,no,12.32,1.675,
534,Kalamazoo Canyon,KA,ERUM,na,KA_04,F7,6,no,10.47,-0.175,
535,Kalamazoo Canyon,KA,ERUM,na,KA_05,G7,6,no,10.71,0.065,
536,Kalamazoo Canyon,KA,ERUM,na,KA_06,H7,6,no,11.47,0.825,
537,Kalamazoo Canyon,KA,ERUM,na,KA_07,A8,6,no,9.735,-0.91,
538,Kalamazoo Canyon,KA,ERUM,na,KA_08,B8,6,no,10.82,0.175,
539,Kalamazoo Canyon,KA,ERUM,na,KA_09,C8,6,no,10.195,-0.45,
540,Kalamazoo Canyon,KA,ERUM,na,KA_10,D8,6,no,11.155,0.51,
541,Knoll Creek,KC,Eriogonum brevicaule,na,KC_01,E8,6,no,12.765,2.12,
542,Knoll Creek,KC,Eriogonum brevicaule,na,KC_02,F8,6,no,10.335,-0.31,
543,Knoll Creek,KC,Eriogonum brevicaule,na,KC_03,G8,6,no,13.835,3.19,
544,Knoll Creek,KC,Eriogonum brevicaule,na,KC_04,H8,6,no,11.23,0.585,
545,Knoll Creek,KC,Eriogonum brevicaule,na,KC_05,A9,6,no,10.845,0.2,
546,Knoll Creek,KC,Eriogonum brevicaule,na,KC_06,B9,6,no,13.315,2.67,
547,Knoll Creek,KC,Eriogonum brevicaule,na,KC_07,C9,6,no,12.05,1.405,
548,Knoll Creek,KC,Eriogonum brevicaule,na,KC_08,D9,6,no,14.65,4.005,
549,Knoll Creek,KC,Eriogonum brevicaule,na,KC_09,E9,6,no,13.245,2.6,
550,Knoll Creek,KC,Eriogonum brevicaule,na,KC_10,F9,6,no,11.27,0.625,
551,Twin Spring Hills,TW,ERUM,na,TW_01,G9,6,no,13.24,2.595,
552,Twin Spring Hills,TW,ERUM,na,TW_02,H9,6,no,10.155,-0.49,
553,Twin Spring Hills,TW,ERUM,na,TW_03,A10,6,no,9.645,-1,
554,Twin Spring Hills,TW,ERUM,na,TW_04,B10,6,no,10.305,-0.34,
555,Twin Spring Hills,TW,ERUM,na,TW_05,C10,6,no,9.78,-0.865,
556,Twin Spring Hills,TW,ERUM,na,TW_06,D10,6,no,10.91,0.265,
557,Twin Spring Hills,TW,ERUM,na,TW_07,E10,6,no,11.365,0.72,sample smells bad
558,Twin Spring Hills,TW,ERUM,na,TW_08,F10,6,no,9.75,-0.895,
559,Twin Spring Hills,TW,ERUM,na,TW_09,G10,6,no,13.535,2.89,
560,Twin Spring Hills,TW,ERUM,na,TW_10,H10,6,no,12.73,2.085,
561,"Mill Creek, Lemhi Mountains",MY,ERUM,yellow,MY_01,A11,6,no,11.975,1.33,
562,"Mill Creek, Lemhi Mountains",MY,ERUM,yellow,MY_02,B11,6,no,11.84,1.195,
563,"Mill Creek, Lemhi Mountains",MY,ERUM,yellow,MY_03,C11,6,no,11.745,1.1,
564,"Mill Creek, Lemhi Mountains",MY,ERUM,yellow,MY_04,D11,6,no,11.475,0.83,
565,"Mill Creek, Lemhi Mountains",MY,ERUM,yellow,MY_05,E11,6,no,10.18,-0.465,
566,"Mill Creek, Lemhi Mountains",MY,ERUM,yellow,MY_06,F11,6,no,13.01,2.365,
567,"Mill Creek, Lemhi Mountains",MY,ERUM,yellow,MY_07,G11,6,no,10.265,-0.38,
568,"Mill Creek, Lemhi Mountains",MY,ERUM,yellow,MY_08,H11,6,no,11,0.355,
569,"Mill Creek, Lemhi Mountains",MY,ERUM,yellow,MY_09,A12,6,no,11.435,0.79,
570,"Mill Creek, Lemhi Mountains",MY,ERUM,yellow,MY_10,B12,6,no,9.925,-0.72,
571,Sacramento Pass,SP,ERUM,juniporinum,SP_01,C12,6,no,10.135,-0.51,
572,Sacramento Pass,SP,ERUM,juniporinum,SP_02,D12,6,no,9.775,-0.87,
573,Sacramento Pass,SP,ERUM,juniporinum,SP_03,E12,6,no,8.445,-2.2,
574,Sacramento Pass,SP,ERUM,juniporinum,SP_04,F12,6,no,9.51,-1.135,
575,empty,na,na,na,empty,G12,6,na,11.815,1.17,
576,empty,na,na,na,empty,H12,6,na,9.475,-1.17,
577,Asotin CCC,AS,Eriogonum sp.,na,AS_01,A1,7,no,9.495,-5.3275,voucher
578,Asotin CCC,AS,Eriogonum sp.,na,AS_02,B1,7,no,11.45,-3.3725,
579,Asotin CCC,AS,Eriogonum sp.,na,AS_03,C1,7,no,12.125,-2.6975,
580,Asotin CCC,AS,Eriogonum sp.,na,AS_04,D1,7,no,12.795,-2.0275,
581,Asotin CCC,AS,Eriogonum sp.,na,AS_05,E1,7,no,13.975,-0.8475,
582,Asotin CCC,AS,Eriogonum sp.,na,AS_06,F1,7,no,13.4,-1.4225,
583,Asotin CCC,AS,Eriogonum sp.,na,AS_07,G1,7,no,13.17,-1.6525,
584,Asotin CCC,AS,Eriogonum sp.,na,AS_08,H1,7,no,11.45,-3.3725,
585,Asotin CCC,AS,Eriogonum sp.,na,AS_09,A2,7,no,19.44,4.6175,
586,Asotin CCC,AS,Eriogonum sp.,na,AS_10,B2,7,no,15.165,0.3425,
587,Asotin CCC,AS,Eriogonum sp.,na,AS_11,C2,7,no,19.31,4.4875,
588,Asotin CCC,AS,Eriogonum sp.,na,AS_12,D2,7,no,15.905,1.0825,
589,Asotin CCC,AS,Eriogonum sp.,na,AS_13,E2,7,no,13.96,-0.8625,
590,Asotin CCC,AS,Eriogonum sp.,na,AS_14,F2,7,no,19.885,5.0625,
591,Asotin CCC,AS,Eriogonum sp.,na,AS_15,G2,7,no,14.22,-0.6025,
592,Asotin CCC,AS,Eriogonum sp.,na,AS_16,H2,7,no,12.47,-2.3525,
593,Wenatchee,WE,ERHE2,na,WE_01,A3,7,no,10.425,-4.3975,voucher
594,Wenatchee,WE,ERHE2,na,WE_02,B3,7,no,13.59,-1.2325,
595,Wenatchee,WE,ERHE2,na,WE_03,C3,7,no,14.73,-0.0925,
596,Wenatchee,WE,ERHE2,na,WE_04,D3,7,no,11.88,-2.9425,
597,Wenatchee,WE,ERHE2,na,WE_05,E3,7,no,12.635,-2.1875,
598,Wenatchee,WE,ERHE2,na,WE_06,F3,7,no,13.345,-1.4775,
599,Wenatchee,WE,ERHE2,na,WE_07,G3,7,no,13.615,-1.2075,
600,Wenatchee,WE,ERHE2,na,WE_08,H3,7,no,12.44,-2.3825,
601,Wenatchee,WE,ERHE2,na,WE_09,A4,7,no,15.545,0.7225,
602,Wenatchee,WE,ERHE2,na,WE_10,B4,7,no,14.455,-0.3675,
603,Wenatchee,WE,ERHE2,na,WE_11,C4,7,no,11.09,-3.7325,
604,Wenatchee,WE,ERHE2,na,WE_12,D4,7,no,11.97,-2.8525,
605,Wenatchee,WE,ERHE2,na,WE_13,E4,7,no,11.085,-3.7375,
606,Wenatchee,WE,ERHE2,na,WE_14,F4,7,no,8.6,-6.2225,
607,Wenatchee,WE,ERHE2,na,WE_15,G4,7,no,14.75,-0.0725,
608,Umatilla west entrance,UW,ERUM,na,UW_01,H4,7,no,16.645,1.8225,voucher
609,Umatilla west entrance,UW,ERUM,na,UW_02,A5,7,no,10.095,-4.7275,
610,Umatilla west entrance,UW,ERUM,na,UW_03,B5,7,no,11.85,-2.9725,
611,Umatilla west entrance,UW,ERUM,na,UW_04,C5,7,no,11.26,-3.5625,
612,Umatilla west entrance,UW,ERUM,na,UW_05,D5,7,no,10.98,-3.8425,
613,Umatilla west entrance,UW,ERUM,na,UW_06,E5,7,no,11.2,-3.6225,
614,Umatilla west entrance,UW,ERUM,na,UW_07,F5,7,no,12.315,-2.5075,
615,Umatilla west entrance,UW,ERUM,na,UW_08,G5,7,no,11.03,-3.7925,
616,Umatilla west entrance,UW,ERUM,na,UW_09,H5,7,no,10.28,-4.5425,
617,Umatilla west entrance,UW,ERUM,na,UW_10,A6,7,no,10.48,-4.3425,
618,Umatilla west entrance,UW,ERUM,na,UW_11,B6,7,no,9.99,-4.8325,
619,Chicken Canyon,CH,ERUM,na,CH_01,C6,7,no,11.78,-3.0425,
620,Chicken Canyon,CH,ERUM,na,CH_02,D6,7,no,13.515,-1.3075,
621,Chicken Canyon,CH,ERUM,na,CH_03,E6,7,no,12.09,-2.7325,
622,Chicken Canyon,CH,ERUM,na,CH_04,F6,7,no,12.61,-2.2125,
623,Chicken Canyon,CH,ERUM,na,CH_05,G6,7,no,10.02,-4.8025,
624,Chicken Canyon,CH,ERUM,na,CH_06,H6,7,no,10.45,-4.3725,
625,Chicken Canyon,CH,ERUM,na,CH_07,A7,7,no,11.14,-3.6825,
626,Chicken Canyon,CH,ERUM,na,CH_08,B7,7,no,9.845,-4.9775,
627,Chicken Canyon,CH,ERUM,na,CH_09,C7,7,no,11.26,-3.5625,
628,Chicken Canyon,CH,ERUM,na,CH_10,D7,7,no,11.515,-3.3075,
629,Chicken Canyon,CH,ERUM,na,CH_11,E7,7,no,11.765,-3.0575,
630,Chicken Canyon,CH,ERUM,na,CH_12,F7,7,no,10.49,-4.3325,
631,Castlerocks,CA,ERUM,na,CA_01,G7,7,no,14.765,-0.0575,Trail 1
632,Castlerocks,CA,ERUM,na,CA_02,H7,7,no,12.495,-2.3275,Trail 1
633,Castlerocks,CA,ERUM,na,CA_03,A8,7,no,12.245,-2.5775,Trail 1
634,Castlerocks,CA,ERUM,na,CA_04,B8,7,no,14.68,-0.1425,Trail 2
635,Castlerocks,CA,ERUM,na,CA_05,C8,7,no,13.805,-1.0175,Trail 2
636,Castlerocks,CA,ERUM,na,CA_06,D8,7,no,13.56,-1.2625,Trail 2
637,Castlerocks,CA,ERUM,na,CA_07,E8,7,no,15.36,0.5375,Trail 2
638,Brownback Mtn,BM,Eriogonum sp.,na,BM_01,F8,7,no,15.125,0.3025,
639,Brownback Mtn,BM,Eriogonum sp.,na,BM_02,G8,7,no,16.065,1.2425,
640,Brownback Mtn,BM,Eriogonum sp.,na,BM_03,H8,7,no,16.96,2.1375,
641,Brownback Mtn,BM,Eriogonum sp.,na,BM_04,A9,7,no,16.7,1.8775,
642,Brownback Mtn,BM,Eriogonum sp.,na,BM_05,B9,7,no,16.665,1.8425,
643,Dorsey Creek,DC,ERUM,aureum,DC_08,C9,7,no,12.74,-2.0825,
644,Dorsey Creek,DC,ERUM,aureum,DC_09,D9,7,no,9.565,-5.2575,
645,Dorsey Creek,DC,ERUM,aureum,DC_10,E9,7,no,11.58,-3.2425,
646,"Mill Creek, Lemhi Mountains",MC,ERUM,cream,MC_01,F9,7,no,12.285,-2.5375,
647,"Mill Creek, Lemhi Mountains",MC,ERUM,cream,MC_02,G9,7,no,12.53,-2.2925,
648,"Mill Creek, Lemhi Mountains",MC,ERUM,cream,MC_03,H9,7,no,10.54,-4.2825,
649,"Mill Creek, Lemhi Mountains",MC,ERUM,cream,MC_04,A10,7,no,10.605,-4.2175,
650,"Mill Creek, Lemhi Mountains",MC,ERUM,cream,MC_05,B10,7,no,11.3,-3.5225,
651,"Mill Creek, Lemhi Mountains",MC,ERUM,cream,MC_06,C10,7,no,11.435,-3.3875,
652,"Mill Creek, Lemhi Mountains",MC,ERUM,cream,MC_07,D10,7,no,10.235,-4.5875,
653,"Mill Creek, Lemhi Mountains",MC,ERUM,cream,MC_08,E10,7,no,10.715,-4.1075,
654,"Mill Creek, Lemhi Mountains",MC,ERUM,cream,MC_09,F10,7,no,10.585,-4.2375,
655,"Mill Creek, Lemhi Mountains",MC,ERUM,cream,MC_10,G10,7,no,10.955,-3.8675,
656,Sacramento Pass,SP,ERUM,juniporinum,SP_05,H10,7,no,9.445,-5.3775,
657,Sacramento Pass,SP,ERUM,juniporinum,SP_06,A11,7,no,8.99,-5.8325,
658,Sacramento Pass,SP,ERUM,juniporinum,SP_07,B11,7,no,10.125,-4.6975,
659,Sacramento Pass,SP,ERUM,juniporinum,SP_08,C11,7,no,9.495,-5.3275,
660,Sacramento Pass,SP,ERUM,juniporinum,SP_09,D11,7,no,10.585,-4.2375,
661,Sacramento Pass,SP,ERUM,juniporinum,SP_10,E11,7,no,10.08,-4.7425,
662,Sacramento Pass,SP,ERUM,juniporinum,SP_11,F11,7,no,10.5,-4.3225,
663,Sacramento Pass,SP,ERUM,juniporinum,SP_12,G11,7,no,10.19,-4.6325,
664,Mt Bachelor Cinder Cone unknown,MU,Eriogonum sp.,na,MU_01,H11,7,no,9.92,-4.9025,
665,Mt Bachelor Cinder Cone unknown,MU,Eriogonum sp.,na,MU_02,A12,7,no,12.225,-2.5975,
666,Mt Bachelor Cinder Cone unknown,MU,Eriogonum sp.,na,MU_03,B12,7,no,12.395,-2.4275,
667,Mt Bachelor Cinder Cone unknown,MU,Eriogonum sp.,na,MU_04,C12,7,no,19.76,4.9375,
668,Mt Bachelor Cinder Cone unknown,MU,Eriogonum sp.,na,MU_05,D12,7,no,15.64,0.8175,
669,Mt Bachelor Cinder Cone unknown,MU,Eriogonum sp.,na,MU_06,E12,7,no,10.615,-4.2075,
670,Mt Bachelor Cinder Cone unknown,MU,Eriogonum sp.,na,MU_07,F12,7,no,16.41,1.5875,
671,empty,na,na,na,empty,G12,7,na,11.625,-3.1975,
672,empty,na,na,na,empty,H12,7,na,18.02,3.1975,